Rk,Season,Age,Tm,Lg,MP,Player,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,2018-19,28,ORL,NBA,31.4,Nikola Vučević\vucevni01,80,80,8.8,16.9,7.7,14,1.1,2.9,2.2,2.8,2.8,9.2,12,3.8,1,1.1,2,2,20.8,0.518,0.549,0.364,0.549,0.789,0.573
2,2018-19,23,MIN,NBA,33.1,Karl-Anthony Towns\townska01,77,77,8.8,17.1,7,12.5,1.8,4.6,4.9,5.8,3.4,9,12.4,3.4,0.9,1.6,3.1,3.8,24.4,0.518,0.562,0.4,0.572,0.836,0.622
3,2018-19,23,DEN,NBA,31.3,Nikola Jokić\jokicni01,80,80,7.7,15.1,6.7,11.7,1,3.4,3.6,4.4,2.9,8,10.8,7.3,1.4,0.7,3.1,2.9,20.1,0.511,0.569,0.307,0.545,0.821,0.589
4,2018-19,26,UTA,NBA,31.8,Rudy Gobert\goberru01,81,80,5.9,8.8,5.9,8.8,0,0,4.1,6.4,3.8,9,12.9,2,0.8,2.3,1.6,2.9,15.9,0.669,0.669,,0.669,0.636,0.682
5,2018-19,34,TOT,NBA,30.8,Marc Gasol\gasolma01,79,72,4.9,11,3.7,7.6,1.3,3.5,2.4,3.2,1,6.9,7.9,4.4,1.1,1.1,2,2.7,13.6,0.448,0.487,0.363,0.505,0.759,0.546
6,2018-19,24,PHI,NBA,33.7,Joel Embiid\embiijo01,64,64,9.1,18.7,7.8,14.6,1.2,4.1,8.2,10.1,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5,0.484,0.535,0.3,0.517,0.804,0.593
7,2018-19,25,DET,NBA,33.5,Andre Drummond\drumman01,79,79,7.1,13.3,7,12.8,0.1,0.5,3.1,5.2,5.4,10.2,15.6,1.4,1.7,1.7,2.2,3.4,17.3,0.533,0.548,0.132,0.536,0.59,0.555
8,2018-19,24,HOU,NBA,33.6,Clint Capela\capelca01,67,67,7.1,10.9,7.1,10.9,0,0,2.5,3.9,4.4,8.2,12.7,1.4,0.7,1.5,1.4,2.5,16.6,0.648,0.648,,0.648,0.636,0.658
9,2018-19,20,PHO,NBA,30.7,Deandre Ayton\aytonde01,71,70,7.2,12.3,7.2,12.2,0,0.1,2,2.7,3.1,7.1,10.3,1.8,0.9,0.9,1.8,2.9,16.3,0.585,0.588,0,0.585,0.746,0.608
10,2018-19,25,OKC,NBA,33.4,Steven Adams\adamsst01,80,80,6,10.1,6,10.1,0,0,1.8,3.7,4.9,4.6,9.5,1.6,1.5,1,1.7,2.6,13.9,0.595,0.596,0,0.595,0.5,0.591
,,,,,,,75.8,74.9,7.26,13.42,6.61,11.52,0.65,1.91,3.48,4.82,3.42,8.33,11.77,3.08,1.07,1.38,2.24,2.9,18.64,0.5509,0.5751,0.23325,0.5721,0.7117,0.6017
