Rk,Season,Age,Tm,Lg,MP,Player,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,FG%,2P%,3P%,eFG%,FT%,TS%
1,2018-19,28,OKC,NBA,36.9,Paul George\georgpa01,77,77,9.2,21,5.4,11.1,3.8,9.8,5.9,7,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,28,0.438,0.484,0.386,0.529,0.839,0.583
2,2018-19,24,MIL,NBA,32.8,Giannis Antetokounmpo\antetgi01,72,72,10,17.3,9.3,14.5,0.7,2.8,6.9,9.5,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,0.578,0.641,0.256,0.599,0.729,0.644
3,2018-19,34,LAL,NBA,35.2,LeBron James\jamesle01,55,55,10.1,19.9,8.1,14,2,5.9,5.1,7.6,1,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,0.51,0.582,0.339,0.56,0.665,0.588
4,2018-19,27,TOR,NBA,34,Kawhi Leonard\leonaka01,60,60,9.3,18.8,7.5,13.8,1.9,5,6.1,7.1,1.3,6,7.3,3.3,1.8,0.4,2,1.5,26.6,0.496,0.542,0.371,0.546,0.854,0.606
5,2018-19,30,GSW,NBA,34.6,Kevin Durant\duranke01,78,78,9.2,17.7,7.5,12.8,1.8,5,5.7,6.5,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2,26,0.521,0.587,0.353,0.571,0.885,0.631
6,2018-19,25,NOP,NBA,33,Anthony Davis\davisan02,56,56,9.5,18.3,8.6,15.7,0.9,2.6,6.1,7.7,3.1,8.9,12,3.9,1.6,2.4,2,2.4,25.9,0.517,0.547,0.331,0.54,0.794,0.597
7,2018-19,29,DET,NBA,35,Blake Griffin\griffbl01,75,75,8.3,17.9,5.7,10.9,2.5,7,5.5,7.3,1.3,6.2,7.5,5.4,0.7,0.4,3.4,2.7,24.5,0.462,0.525,0.362,0.532,0.753,0.581
8,2018-19,24,NOP,NBA,30.6,Julius Randle\randlju01,73,49,7.8,14.9,6.9,12.2,0.9,2.7,4.9,6.7,2.2,6.5,8.7,3.1,0.7,0.6,2.8,3.4,21.4,0.524,0.564,0.344,0.555,0.731,0.6
9,2018-19,33,SAS,NBA,33.2,LaMarcus Aldridge\aldrila01,81,81,8.4,16.3,8.3,15.8,0.1,0.5,4.3,5.1,3.1,6.1,9.2,2.4,0.5,1.3,1.8,2.2,21.3,0.519,0.528,0.238,0.522,0.847,0.576
10,2018-19,26,TOT,NBA,34.7,Tobias Harris\harrito02,82,82,7.5,15.3,5.5,10.5,1.9,4.8,3.2,3.7,0.8,7,7.9,2.8,0.6,0.5,1.8,2.2,20,0.487,0.528,0.397,0.549,0.866,0.592
11,2018-19,30,LAC,NBA,30.3,Danilo Gallinari\gallida01,68,68,6,13,3.6,7.5,2.4,5.5,5.4,6,0.8,5.3,6.1,2.6,0.7,0.3,1.5,1.9,19.8,0.463,0.484,0.433,0.554,0.904,0.633
12,2018-19,23,LAL,NBA,33.1,Kyle Kuzma\kuzmaky01,70,68,7.1,15.5,5.3,9.5,1.8,6,2.7,3.6,0.9,4.6,5.5,2.5,0.6,0.4,1.9,2.4,18.7,0.456,0.553,0.303,0.515,0.752,0.546
13,2018-19,29,TOT,NBA,33.6,Jimmy Butler\butleji01,65,65,6.4,13.9,5.4,10.9,1,3,4.8,5.6,1.9,3.4,5.3,4,1.9,0.6,1.5,1.7,18.7,0.462,0.494,0.347,0.499,0.855,0.571
14,2018-19,21,CHI,NBA,32.3,Lauri Markkanen\markkla01,52,51,6.6,15.3,4.3,8.9,2.3,6.4,3.3,3.8,1.4,7.6,9,1.4,0.7,0.6,1.6,2.3,18.7,0.43,0.479,0.361,0.506,0.872,0.553
15,2018-19,27,MIL,NBA,31.1,Khris Middleton\middlkh01,77,77,6.6,14.9,4.2,8.8,2.3,6.2,2.8,3.4,0.6,5.3,6,4.3,1,0.1,2.3,2.2,18.3,0.441,0.485,0.378,0.519,0.837,0.558
16,2018-19,21,LAL,NBA,33.8,Brandon Ingram\ingrabr01,52,52,7,14,6.4,12.2,0.6,1.8,3.8,5.6,0.8,4.3,5.1,3,0.5,0.6,2.5,2.9,18.3,0.497,0.521,0.33,0.518,0.675,0.555
17,2018-19,23,MIN,NBA,34.8,Andrew Wiggins\wiggian01,73,73,6.8,16.6,5.2,11.8,1.6,4.8,2.8,4.1,1.1,3.7,4.8,2.5,1,0.7,1.9,2.1,18.1,0.412,0.441,0.339,0.461,0.699,0.493
