Rk,Season,Age,Tm,Lg,MP,Player,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,FG%,2P%,3P%,eFG%,FT%,TS%
1,2018-19,29,HOU,NBA,36.8,James Harden\hardeja01,78,78,10.8,24.5,6,11.3,4.8,13.2,9.7,11,0.8,5.8,6.6,7.5,2,0.7,5,3.1,36.1,0.442,0.528,0.368,0.541,0.879,0.616
2,2018-19,30,GSW,NBA,33.8,Stephen Curry\curryst01,69,69,9.2,19.4,4,7.7,5.1,11.7,3.8,4.2,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3,0.472,0.525,0.437,0.604,0.916,0.641
3,2018-19,22,PHO,NBA,35,Devin Booker\bookede01,64,64,9.2,19.6,7,13.1,2.1,6.5,6.1,7.1,0.6,3.5,4.1,6.8,0.9,0.2,4.1,3.1,26.6,0.467,0.536,0.326,0.521,0.866,0.584
4,2018-19,28,POR,NBA,35.5,Damian Lillard\lillada01,80,80,8.5,19.2,5.6,11.1,3,8,5.9,6.4,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,25.8,0.444,0.499,0.369,0.522,0.912,0.588
5,2018-19,28,CHO,NBA,34.9,Kemba Walker\walkeke02,82,82,8.9,20.5,5.7,11.6,3.2,8.9,4.6,5.5,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6,0.434,0.494,0.356,0.511,0.844,0.558
6,2018-19,25,WAS,NBA,36.9,Bradley Beal\bealbr01,82,82,9.3,19.6,6.8,12.4,2.5,7.3,4.4,5.5,1.1,3.9,5,5.5,1.5,0.7,2.7,2.8,25.6,0.475,0.548,0.351,0.54,0.808,0.581
7,2018-19,22,UTA,NBA,33.7,Donovan Mitchell\mitchdo01,77,77,8.6,19.9,6.1,13.1,2.4,6.7,4.1,5.1,0.8,3.3,4.1,4.2,1.4,0.4,2.8,2.7,23.8,0.432,0.468,0.362,0.493,0.806,0.537
8,2018-19,26,BOS,NBA,33,Kyrie Irving\irvinky01,67,67,9,18.5,6.4,12,2.6,6.5,3.2,3.7,1.1,3.9,5,6.9,1.5,0.5,2.6,2.5,23.8,0.487,0.533,0.401,0.557,0.873,0.592
9,2018-19,23,CHI,NBA,34.5,Zach LaVine\lavinza01,63,62,8.4,18,6.5,12.9,1.9,5.1,5,6,0.6,4,4.7,4.5,1,0.4,3.4,2.2,23.7,0.467,0.504,0.374,0.52,0.832,0.574
10,2018-19,30,OKC,NBA,36,Russell Westbrook\westbru01,73,73,8.6,20.2,7,14.5,1.6,5.6,4.1,6.2,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9,0.428,0.481,0.29,0.468,0.656,0.501
11,2018-19,28,GSW,NBA,34,Klay Thompson\thompkl01,78,78,8.4,18,5.3,10.3,3.1,7.7,1.7,2,0.5,3.4,3.8,2.4,1.1,0.6,1.5,2,21.5,0.467,0.516,0.402,0.553,0.816,0.571
12,2018-19,28,NOP,NBA,35.9,Jrue Holiday\holidjr01,67,67,8.2,17.3,6.4,11.9,1.8,5.4,3.1,4,1.1,3.9,5,7.7,1.6,0.8,3.1,2.2,21.2,0.472,0.539,0.325,0.523,0.768,0.555
13,2018-19,19,DAL,NBA,32.2,Luka Dončić\doncilu01,72,72,7,16.5,4.7,9.3,2.3,7.1,4.8,6.7,1.2,6.6,7.8,6,1.1,0.3,3.4,1.9,21.2,0.427,0.503,0.327,0.497,0.713,0.545
14,2018-19,29,SAS,NBA,34.9,DeMar DeRozan\derozde01,77,77,8.2,17.1,8.1,16.5,0.1,0.6,4.8,5.7,0.7,5.3,6,6.2,1.1,0.5,2.6,2.3,21.2,0.481,0.492,0.156,0.483,0.83,0.542
15,2018-19,22,BRK,NBA,30.2,D'Angelo Russell\russeda01,81,81,8.1,18.7,5.2,10.9,2.9,7.8,2,2.5,0.7,3.2,3.9,7,1.2,0.2,3.1,1.7,21.1,0.434,0.482,0.369,0.512,0.78,0.533
16,2018-19,31,MEM,NBA,33.5,Mike Conley\conlemi01,70,70,7,16,4.8,9.9,2.2,6.1,4.9,5.8,0.6,2.8,3.4,6.4,1.3,0.3,1.9,1.8,21.1,0.438,0.483,0.364,0.507,0.845,0.569
17,2018-19,27,POR,NBA,33.9,CJ McCollum\mccolcj01,70,70,8.2,17.8,5.8,11.4,2.4,6.4,2.3,2.7,0.9,3.1,4,3,0.8,0.4,1.5,2.5,21,0.459,0.506,0.375,0.527,0.828,0.553
18,2018-19,28,WAS,NBA,34.5,John Wall\walljo01,32,32,7.7,17.3,6.1,12,1.6,5.3,3.8,5.5,0.5,3.2,3.6,8.7,1.5,0.9,3.8,2.2,20.7,0.444,0.507,0.302,0.49,0.697,0.527
19,2018-19,26,SAC,NBA,31.9,Buddy Hield\hieldbu01,82,82,7.6,16.6,4.2,8.6,3.4,7.9,2.1,2.4,1.3,3.7,5,2.5,0.7,0.4,1.8,2.5,20.7,0.458,0.487,0.427,0.56,0.886,0.587
20,2018-19,25,CHI,NBA,31.8,JaKarr Sampson\sampsja02,4,0,7.3,13.5,6,10,1.3,3.5,4.3,5.3,1.3,6.8,8,1,1,0.8,1,2,20,0.537,0.6,0.357,0.583,0.81,0.633
21,2018-19,20,ATL,NBA,30.9,Trae Young\youngtr01,81,81,6.5,15.5,4.6,9.6,1.9,6,4.2,5.1,0.8,2.9,3.7,8.1,0.9,0.2,3.8,1.7,19.1,0.418,0.477,0.324,0.48,0.829,0.539
22,2018-19,26,IND,NBA,31.9,Victor Oladipo\oladivi01,36,36,6.9,16.3,4.9,10.3,2.1,6,2.9,3.9,0.6,5,5.6,5.2,1.7,0.3,2.3,2,18.8,0.423,0.47,0.343,0.486,0.73,0.519
23,2018-19,21,DEN,NBA,32.6,Jamal Murray\murraja01,75,74,6.8,15.6,4.8,10.1,2,5.5,2.5,3,0.9,3.4,4.2,4.8,0.9,0.4,2.1,2,18.2,0.437,0.476,0.367,0.502,0.848,0.538
24,2018-19,34,PHI,NBA,31.3,J.J. Redick\redicjj01,76,63,5.9,13.5,2.8,5.6,3.2,8,3,3.4,0.3,2.2,2.4,2.7,0.4,0.2,1.3,1.7,18.1,0.44,0.502,0.397,0.557,0.894,0.602
25,2018-19,26,TOT,NBA,31.6,Tim Hardaway\hardati02,65,63,6,15.3,3.5,7.9,2.5,7.3,3.6,4.2,0.5,2.9,3.4,2.4,0.8,0.1,1.6,2.2,18.1,0.393,0.442,0.34,0.474,0.841,0.527
26,2018-19,29,IND,NBA,31.8,Bojan Bogdanović\bogdabo02,81,81,6.4,13,4.4,8.2,2,4.8,3,3.8,0.4,3.7,4.1,2,0.9,0,1.7,1.7,18,0.497,0.538,0.425,0.575,0.807,0.613
