Devon Dotson,SO,2019-20,G,Kansas,Big 12,28,972,171,362,136,247,35,115,132,161,17,92,109,113,58,3,66,49,509,34.7,6.1,12.9,4.9,8.8,1.3,4.1,4.7,5.8,0.6,3.3,3.9,4.0,2.1,0.1,2.4,1.8,18.2
Udoka Azubuike,SR,2019-20,C,Kansas,Big 12,29,795,162,219,162,219,0,0,56,124,95,204,299,27,15,74,68,70,380,27.4,5.6,7.6,5.6,7.6,0.0,0.0,1.9,4.3,3.3,7.0,10.3,0.9,0.5,2.6,2.3,2.4,13.1
Ochai Agbaji,SO,2019-20,G,Kansas,Big 12,29,965,106,249,62,119,44,130,33,49,32,89,121,61,38,8,55,56,289,33.3,3.7,8.6,2.1,4.1,1.5,4.5,1.1,1.7,1.1,3.1,4.2,2.1,1.3,0.3,1.9,1.9,10.0
Marcus Garrett,JR,2019-20,G,Kansas,Big 12,29,932,99,226,82,175,17,51,52,85,14,114,128,137,53,8,52,69,267,32.1,3.4,7.8,2.8,6.0,0.6,1.8,1.8,2.9,0.5,3.9,4.4,4.7,1.8,0.3,1.8,2.4,9.2
Isaiah Moss,SR,2019-20,G,Kansas,Big 12,28,673,76,189,29,60,47,129,31,34,8,53,61,15,12,1,23,35,230,24.0,2.7,6.8,1.0,2.1,1.7,4.6,1.1,1.2,0.3,1.9,2.2,0.5,0.4,0.0,0.8,1.3,8.2
Filip Petrusev,SO,2019-20,F,Gonzaga,WCC,31,804,200,354,198,343,2,11,150,228,73,168,241,40,20,25,67,54,552,25.9,6.5,11.4,6.4,11.1,0.1,0.4,4.8,7.4,2.4,5.4,7.8,1.3,0.6,0.8,2.2,1.7,17.8
Corey Kispert,JR,2019-20,F,Gonzaga,WCC,31,1020,151,313,74,139,77,174,63,77,30,96,126,66,29,11,44,53,442,32.9,4.9,10.1,2.4,4.5,2.5,5.6,2.0,2.5,1.0,3.1,4.1,2.1,0.9,0.4,1.4,1.7,14.3
Admon Gilder,SR,2019-20,G,Gonzaga,WCC,31,797,110,259,66,141,44,118,68,89,23,69,92,64,36,9,30,53,332,25.7,3.5,8.4,2.1,4.5,1.4,3.8,2.2,2.9,0.7,2.2,3.0,2.1,1.2,0.3,1.0,1.7,10.7
Joel Ayayi,SO,2019-20,G,Gonzaga,WCC,31,898,118,243,79,132,39,111,45,55,43,150,193,104,39,7,48,68,320,29.0,3.8,7.8,2.5,4.3,1.3,3.6,1.5,1.8,1.4,4.8,6.2,3.4,1.3,0.2,1.5,2.2,10.3
Ryan Woolridge,SR,2019-20,G,Gonzaga,WCC,31,1015,117,223,87,151,30,72,50,81,22,120,142,138,46,7,68,27,314,32.7,3.8,7.2,2.8,4.9,1.0,2.3,1.6,2.6,0.7,3.9,4.6,4.5,1.5,0.2,2.2,0.9,10.1
Killian Tillie,SR,2019-20,F,Gonzaga,WCC,22,535,114,212,80,129,34,83,37,51,26,83,109,44,20,18,22,55,299,24.3,5.2,9.6,3.6,5.9,1.5,3.8,1.7,2.3,1.2,3.8,5.0,2.0,0.9,0.8,1.0,2.5,13.6
Drew Timme,FR,2019-20,F,Gonzaga,WCC,31,638,117,194,116,191,1,3,62,102,63,109,172,43,17,31,39,86,297,20.6,3.8,6.3,3.7,6.2,0.0,0.1,2.0,3.3,2.0,3.5,5.5,1.4,0.5,1.0,1.3,2.8,9.6
Vernon Carey Jr.,FR,2019-20,C,Duke,ACC,29,718,187,325,179,305,8,20,128,196,80,175,255,29,20,46,60,78,510,24.8,6.4,11.2,6.2,10.5,0.3,0.7,4.4,6.8,2.8,6.0,8.8,1.0,0.7,1.6,2.1,2.7,17.6
Tre Jones,SO,2019-20,G,Duke,ACC,27,949,154,356,120,258,34,98,93,124,17,100,117,170,47,8,73,46,435,35.1,5.7,13.2,4.4,9.6,1.3,3.6,3.4,4.6,0.6,3.7,4.3,6.3,1.7,0.3,2.7,1.7,16.1
Cassius Stanley,FR,2019-20,G,Duke,ACC,27,727,115,242,87,165,28,77,69,96,49,80,129,28,20,19,49,60,327,26.9,4.3,9.0,3.2,6.1,1.0,2.9,2.6,3.6,1.8,3.0,4.8,1.0,0.7,0.7,1.8,2.2,12.1
Matthew Hurt,FR,2019-20,F,Duke,ACC,29,616,107,220,65,115,42,105,39,53,44,68,112,26,14,23,26,56,295,21.2,3.7,7.6,2.2,4.0,1.4,3.6,1.3,1.8,1.5,2.3,3.9,0.9,0.5,0.8,0.9,1.9,10.2
Wendell Moore Jr.,FR,2019-20,F,Duke,ACC,23,551,60,144,56,126,4,18,48,61,37,58,95,44,22,6,57,51,172,24.0,2.6,6.3,2.4,5.5,0.2,0.8,2.1,2.7,1.6,2.5,4.1,1.9,1.0,0.3,2.5,2.2,7.5
Jordan Goldwire,JR,2019-20,G,Duke,ACC,29,685,53,110,37,66,16,44,11,18,18,51,69,63,44,5,25,45,133,23.6,1.8,3.8,1.3,2.3,0.6,1.5,0.4,0.6,0.6,1.8,2.4,2.2,1.5,0.2,0.9,1.6,4.6
Cassius Winston,SR,2019-20,G,Michigan State,Big Ten,28,905,170,392,102,232,68,160,109,126,6,64,70,163,34,1,92,55,517,32.3,6.1,14.0,3.6,8.3,2.4,5.7,3.9,4.5,0.2,2.3,2.5,5.8,1.2,0.0,3.3,2.0,18.5
Xavier Tillman,JR,2019-20,F,Michigan State,Big Ten,29,922,149,277,136,229,13,48,76,115,76,220,296,87,35,61,55,74,387,31.8,5.1,9.6,4.7,7.9,0.4,1.7,2.6,4.0,2.6,7.6,10.2,3.0,1.2,2.1,1.9,2.6,13.3
