Rk▲,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Kansas,Big 12,,1,26,3,74.9,60.5,14.38,,11.61,,11.25,14.18,25.43,118.57,81.12,37.45
2,Gonzaga,WCC,,2,29,2,87.7,67.6,20.13,,2.72,,18.95,3.90,22.85,122.09,89.82,32.28
3,Duke,ACC,,12,23,6,82.1,67.7,14.45,,7.93,,15.59,6.78,22.37,116.79,84.18,32.61
4,Michigan State,Big Ten,,16,20,9,75.7,64.4,11.28,,10.36,,11.44,10.19,21.64,115.74,84.59,31.16
5,Baylor,Big 12,,4,25,3,71.4,59.3,12.11,,8.54,,6.53,14.12,20.65,113.19,82.29,30.90
6,Arizona,Pac-12,,,19,10,76.6,65.1,11.48,,8.31,,10.14,9.66,19.79,114.07,85.54,28.53
7,Ohio State,Big Ten,,19,20,9,72.2,62.3,9.86,,9.71,,7.25,12.32,19.57,115.46,85.94,29.53
8,San Diego State,MWC,,5,28,1,75.3,59.2,16.17,,3.65,,4.75,14.09,18.83,113.93,84.98,28.95
9,Dayton,A-10,,3,27,2,80.0,65.2,14.76,,3.88,,11.62,7.02,18.64,118.75,90.45,28.30
10,Louisville,ACC,,10,24,6,74.7,63.9,10.83,,7.41,,8.69,9.56,18.25,117.00,88.85,28.15
11,West Virginia,Big 12,,,19,10,69.9,62.1,7.79,,10.44,,6.40,11.82,18.23,109.19,81.80,27.40
12,Michigan,Big Ten,,25,18,11,75.0,68.1,6.86,,11.24,,9.73,8.37,18.10,114.00,87.24,26.76
13,Maryland,Big Ten,,9,23,6,71.6,63.8,7.76,,10.16,,6.94,10.97,17.92,113.35,86.78,26.57
14,Oregon,Pac-12,,13,22,7,75.2,67.1,8.14,,9.38,,9.97,7.55,17.51,117.88,91.64,26.24
15,Seton Hall,Big East,,8,21,7,75.1,67.2,7.96,,9.53,,9.53,7.96,17.49,112.61,86.96,25.65
16,Florida State,ACC,,7,24,5,75.3,65.7,9.62,,7.72,,10.04,7.30,17.34,112.55,86.99,25.56
17,Brigham Young,WCC,,15,24,7,80.6,68.9,11.65,,6.36,,12.71,4.52,17.23,118.13,92.08,26.06
18,Penn State,Big Ten,,20,21,8,75.4,67.4,8.00,,9.06,,9.80,7.26,17.06,111.49,86.82,24.67
19,Villanova,Big East,,14,22,7,73.1,65.9,7.17,,9.79,,7.40,9.56,16.96,114.16,89.27,24.90
20,Texas Tech,Big 12,,,18,11,72.4,63.2,9.24,,7.53,,6.19,10.58,16.77,111.30,85.98,25.33
21,Houston,AAC,,21,22,7,72.6,61.8,10.83,,5.89,,5.97,10.75,16.72,113.55,88.12,25.43
22,Iowa,Big Ten,,18,20,9,78.1,71.9,6.21,,10.36,,13.32,3.25,16.57,118.54,93.62,24.93
23,Creighton,Big East,,11,22,7,77.9,69.9,8.07,,9.41,,11.63,4.82,16.45,117.24,93.39,23.85
24,Purdue,Big Ten,,,15,14,67.9,62.2,5.72,,10.44,,3.64,12.53,16.17,110.75,85.76,25.00
25,Colorado,Pac-12,,,21,9,70.9,63.4,7.57,,8.56,,6.34,9.79,16.13,111.06,87.07,23.99
26,Kentucky,SEC,,6,24,5,74.6,65.4,9.14,,6.97,,7.31,8.80,16.11,112.50,88.55,23.95
27,Marquette,Big East,,,18,10,77.8,71.1,6.68,,9.28,,12.88,3.08,15.96,114.92,91.73,23.19
28,Minnesota,Big Ten,,,13,15,69.9,66.1,3.79,,12.03,,6.41,9.42,15.82,111.20,87.89,23.31
29,Wisconsin,Big Ten,,24,19,10,67.6,62.9,4.69,,11.05,,2.42,13.33,15.74,112.34,88.44,23.90
30,Rutgers,Big Ten,,,18,11,69.6,62.3,7.31,,9.35,,3.73,11.58,15.32,108.44,85.12,23.32
